
WAVE HEADER INFORMATION: simple440add1000.wav
Sample Rate:  44100 Hz
Amp Width:  2
Number of Channels:  2 channels
Number of Frames:  88200 frames
comptype :  NONE
compname :  not compressed
debug TranLossPrecent   417 0.10984173548814195
debug TranLossPrecent   418 0.11042367606744997
debug TranLossPrecent   419 0.11100589993819927
debug TranLossPrecent   420 0.11158839925077486
debug TranLossPrecent   421 0.11217116621709247
debug TranLossPrecent   422 0.11275419311028032
debug TranLossPrecent   423 0.1133374722643601
debug TranLossPrecent   424 0.11392099607392689
debug TranLossPrecent   425 0.11450475699382819
debug TranLossPrecent   426 0.11508874753884224
debug TranLossPrecent   427 0.1156729602833556
debug TranLossPrecent   428 0.11625738786104008
debug TranLossPrecent   429 0.11684202296452893
debug TranLossPrecent   430 0.11742685834509284
debug TranLossPrecent   431 0.11801188681231518
debug TranLossPrecent   432 0.11859710123376697
debug TranLossPrecent   433 0.1191824945346816
debug TranLossPrecent   434 0.11976805969762905
debug TranLossPrecent   435 0.1203537897621902
debug TranLossPrecent   436 0.12093967782463072
debug TranLossPrecent   437 0.12152571703757503
debug TranLossPrecent   438 0.12211190060968014
debug TranLossPrecent   439 0.1226982218053094
debug TranLossPrecent   440 0.12328467394420663
debug TranLossPrecent   441 0.12387125040116992
debug TranLossPrecent   442 0.12445794460572598
debug TranLossPrecent   443 0.12504475004180432
debug TranLossPrecent   444 0.12563166024741207
debug TranLossPrecent   445 0.12621866881430865
debug TranLossPrecent   446 0.12680576938768123
debug TranLossPrecent   447 0.1273929556658203
debug TranLossPrecent   448 0.12798022139979537
debug TranLossPrecent   449 0.12856756039313202
debug TranLossPrecent   450 0.12915496650148842
debug TranLossPrecent   451 0.12974243363233284
debug TranLossPrecent   452 0.13032995574462206
debug TranLossPrecent   453 0.13091752684847965
debug TranLossPrecent   454 0.13150514100487543
debug TranLossPrecent   455 0.1320927923253054
debug TranLossPrecent   456 0.13268047497147248
debug TranLossPrecent   457 0.1332681831549677
debug TranLossPrecent   458 0.13385591113695255
debug TranLossPrecent   459 0.13444365322784183
debug TranLossPrecent   460 0.13503140378698733
debug TranLossPrecent   461 0.13561915722236248
debug TranLossPrecent   462 0.1362069079902479
debug TranLossPrecent   463 0.1367946505949176
debug TranLossPrecent   464 0.1373823795883263
debug TranLossPrecent   465 0.13797008956979773
debug TranLossPrecent   466 0.13855777518571372
debug TranLossPrecent   467 0.13914543112920444
debug TranLossPrecent   468 0.13973305213983953
debug TranLossPrecent   469 0.14032063300332032
debug TranLossPrecent   470 0.14090816855117314
debug TranLossPrecent   471 0.14149565366044364
debug TranLossPrecent   472 0.14208308325339225
debug TranLossPrecent   473 0.1426704522971905
debug TranLossPrecent   474 0.1432577558036191
debug TranLossPrecent   475 0.1438449888287663
debug TranLossPrecent   476 0.1444321464727281
debug TranLossPrecent   477 0.14501922387930932
debug TranLossPrecent   478 0.14560621623572592
debug TranLossPrecent   479 0.14619311877230848
